Index,LCSC#,MPN,Manufacturer,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C76934,GRM033R61A104KE15D,muRata,100,100,100,0.0012,0.12,https://www.lcsc.com/product-detail/C76934.html
2,C59135,INA199A1DCKR,TI,5,5,5,0.1709,0.85,https://www.lcsc.com/product-detail/C59135.html
3,C473914,TPS82130SILR,TI,1,1,1,0.9844,0.98,https://www.lcsc.com/product-detail/C473914.html
4,C185109,JW5026,JoulWatt Tech,5,5,5,0.1973,0.99,https://www.lcsc.com/product-detail/C185109.html
5,C328453,FD6288Q,Fortior Tech,4,1,1,0.8325,3.33,https://www.lcsc.com/product-detail/C328453.html
6,C5224158,EBWM2512F1L00S9,RESI,5,5,5,0.2494,1.25,https://www.lcsc.com/product-detail/C5224158.html
7,C25769,0402WGF2402TCE,UNI-ROYAL,100,100,100,0.0006,0.06,https://www.lcsc.com/product-detail/C25769.html
8,C25798,0402WGF7502TCE,UNI-ROYAL,100,100,100,0.0006,0.06,https://www.lcsc.com/product-detail/C25798.html
9,C25950,0603WAF1102T5E,UNI-ROYAL,100,100,100,0.0012,0.12,https://www.lcsc.com/product-detail/C25950.html
10,C2933788,FRC1206J560 TS,FOJAN,100,100,100,0.0022,0.22,https://www.lcsc.com/product-detail/C2933788.html
11,C25741,0402WGF1003TCE,UNI-ROYAL,100,100,100,0.0006,0.06,https://www.lcsc.com/product-detail/C25741.html
12,C3951712,CRCW020120R0FNED,VISHAY,50,50,50,0.0142,0.71,https://www.lcsc.com/product-detail/C3951712.html
13,C138165,RC0201FR-071KL,YAGEO,200,100,100,0.001,0.2,https://www.lcsc.com/product-detail/C138165.html
14,C106225,RC0201FR-0710KL,YAGEO,100,100,100,0.001,0.1,https://www.lcsc.com/product-detail/C106225.html
15,C17702946,AON7544,MSKSEMI,25,5,5,0.1335,3.34,https://www.lcsc.com/product-detail/C17702946.html
16,C160407,SM08B-SRSS-TB(LF)(SN),JST,5,5,5,0.2717,1.36,https://www.lcsc.com/product-detail/C160407.html
17,C5832360,FTC252010S4R7MBCA,cjiang,20,20,20,0.0806,1.61,https://www.lcsc.com/product-detail/C5832360.html
18,C970035,TPBT4448-1006,TECH PUBLIC,20,20,20,0.0301,0.6,https://www.lcsc.com/product-detail/C970035.html
19,C15195,CL05B103KB5NNNC,Samsung Electro-Mechanics,100,100,100,0.0013,0.13,https://www.lcsc.com/product-detail/C15195.html
20,C86295,CL10A226MP8NUNE,Samsung Electro-Mechanics,10,10,10,0.0149,0.15,https://www.lcsc.com/product-detail/C86295.html
21,C440198,GRM21BR61H106KE43L,muRata,10,10,10,0.0619,0.62,https://www.lcsc.com/product-detail/C440198.html
22,C1523,0402B102K500NT,FH,100,100,100,0.0011,0.11,https://www.lcsc.com/product-detail/C1523.html
23,C96446,CL10A106MA8NRNC,Samsung Electro-Mechanics,20,20,20,0.0161,0.32,https://www.lcsc.com/product-detail/C96446.html
24,C1525,CL05B104KO5NNNC,Samsung Electro-Mechanics,100,100,100,0.0012,0.12,https://www.lcsc.com/product-detail/C1525.html
25,C335102,GRM033R61C105ME15D,muRata,50,50,50,0.0113,0.57,https://www.lcsc.com/product-detail/C335102.html
26,C602037,CL21A226MAYNNNE,Samsung Electro-Mechanics,20,10,10,0.0235,0.47,https://www.lcsc.com/product-detail/C602037.html
27,C2765098,AT32F421G8U7,ARTERY,4,1,1,0.6249,2.5,https://www.lcsc.com/product-detail/C2765098.html
28,C83322,SMAJ30CA,Littelfuse,10,5,5,0.1046,1.05,https://www.lcsc.com/product-detail/C83322.html
