"C1,C2",2,12pf,,,,,,,C161404,
"C3,C10,C12,C13,C15,C126,C127,C132,C133",9,1uf,,,,,,,C307385,
C4,1,22nf,,,,,,,C2880350,
"C5,C6,C7,C8,C9,C14,C16,C21,C31,C123,C124,C129,C130",13,100nf,,,,,,,C76939,
"C11,C125,C131",3,10nF,,,,扩展库,,10nF ±10% 10V,C85930,
"C24,C25,C27,C128",4,100nF,,,,,,,C76939,
"C29,C30",2,10uf,,,,,,,C89632,
C26,1,10uF,,,,,,,C19702,
C28,1,22uF,,,,,,,C315248,
"C17,C18",2,CL21A226MAQNNNE,,,,,,,C45783,
RECIEVER1,1,SM04B-SRSS-TB (LF)(SN),,,,,,,C160404,
"BUZ1,CAM1",2,SM03B-SRSS-TB(LF)(SN)(P),,,,,,,C160403,
"A_VTX1,METEOR1",2,SM05B-SRSS-TB (LF)(SN),,,,,,,C136657,
"GPS1,HD_VIDEO1",2,SM06B-SRSS-TB(LF)(SN),,,,,,,C160405,
ESC1,1,SM08B-SRSS-TB(LF)(SN),,,,,,,C160407,
U4,1,CSTNE8M00G52A000R0,,,,,,,C1851993,
L3,1,10uH,,,,扩展库,,10uH ±20% 3.8A,C7423323,
U11,1,APH0630T220M,,,,,,,C5349702,
LED1,1,BLUE,,,,Extended Part,,,C7429915,
LED2,1,RED,,,,Extended Part,,,C7429910,
U2,1,ICM-42688-P,,,,Extended Part,,,C1850418,
U9,1,27MHz,,,,Extended Part,,,C5210654,
U8,1,AT32F435CGU7,,,,Extended Part,,,C3029576,
U52,1,MP9943GQ-Z,,,,扩展库,,MP9943GQ-Z,C51889390,
"R15,R17,R18,R21,R23,R25",6,10k,,,,,,,C106225,
"R16,R26,R27,R28,R29",5,1k,,,,,,,C270365,
"R19,R20",2,4K7,,,,,,,C270346,
"R22,R24",2,75R,,,,,,,C18164340,
R245,1,100K,,,,,,,C270364,
R246,1,47K,,,,,,,C138139,
R247,1,8.2K,,,,,,,C18164351,
R248,1,51K,,,,,,,C295806,
R249,1,1M,,,,,,,C4066408,
R4,1,FRC0603F3092TS,,,,,,,C2930090,
U1,1,SPL06-001,,,,Extended Part,,,C2684428,
D2,1,B5819W,,,,Extended Part,,40V 350mA 600mV@200mA,C5345968,
"Q1,Q2",2,S8050T,,,,Extended Part,,,C22435136,
SW1,1,TS2306A 200GF 002,,,,Extended Part,,,C5363482,
U10,1,AT7456E,,,,Extended Part,,,C82351,
USB1,1,TYPE-C 16PIN 2MD(073),,,,,,,C2765186,
U73,1,W25Q128JVPIQ,,,,扩展库,,W25Q128JVPIQ,C190862,
"U3,U48,U53",3,RS3236-3.3YUTDN4,,,,扩展库,,输入7.5V 输出3.3V 500mA,C700413,
"U5,U6,U12,U13,U14,U15,U59,U66,U67,U69,U70,U71",12,~,,,,,,,,
U7,1,MT3608,,,,,,,C84817,
D1,1,SS34,,,,,C8678,,C8678,MDD（Microdiode Electronics）
R3,1,2.2kΩ,,,,,C25879,,C25879,UNI-ROYAL(Uniroyal Elec)
"R1,R2",2,5.1k,,,,,,,C27834,
