Index,LCSC#,MPN,Manufacturer,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C5345968,B5819W,HXY MOSFET,20,20,20,0.0123,0.25,https://www.lcsc.com/product-detail/C5345968.html
2,C22548,RC0603FR-071KL,YAGEO,100,100,100,0.0013,0.13,https://www.lcsc.com/product-detail/C22548.html
3,C99782,RC0603FR-074K7L,YAGEO,100,100,100,0.0013,0.13,https://www.lcsc.com/product-detail/C99782.html
4,C112309,RC0603FR-0775RL,YAGEO,100,100,100,0.0014,0.14,https://www.lcsc.com/product-detail/C112309.html
5,C14675,RC0603FR-07100KL,YAGEO,100,100,100,0.0013,0.13,https://www.lcsc.com/product-detail/C14675.html
6,C105579,RC0603FR-0747KL,YAGEO,100,100,100,0.0013,0.13,https://www.lcsc.com/product-detail/C105579.html
7,C17828,0805W8F8201T5E,UNI-ROYAL,100,100,100,0.0019,0.19,https://www.lcsc.com/product-detail/C17828.html
8,C107231,RC0603FR-0751KL,YAGEO,100,100,100,0.0013,0.13,https://www.lcsc.com/product-detail/C107231.html
9,C473482,0201WMF1004TEE,UNI-ROYAL,100,100,100,0.0008,0.08,https://www.lcsc.com/product-detail/C473482.html
10,C2930090,FRC0603F3092TS,FOJAN,100,100,100,0.001,0.1,https://www.lcsc.com/product-detail/C2930090.html
11,C2684428,SPL06-001,Goertek,1,1,1,0.873,0.87,https://www.lcsc.com/product-detail/C2684428.html
12,C28323,CL21B105KBFNNNE,Samsung Electro-Mechanics,20,20,20,0.0092,0.18,https://www.lcsc.com/product-detail/C28323.html
13,C22435136,S8050T,TECH PUBLIC,20,20,20,0.0221,0.44,https://www.lcsc.com/product-detail/C22435136.html
14,C5363482,TS2306A 200gf 002,SHOU HAN,10,10,10,0.0584,0.58,https://www.lcsc.com/product-detail/C5363482.html
15,C82351,AT7456E,ZHONGKEWEI,1,1,1,4.1401,4.14,https://www.lcsc.com/product-detail/C82351.html
16,C2765186,TYPE-C 16PIN 2MD(073),SHOU HAN,20,20,20,0.0631,1.26,https://www.lcsc.com/product-detail/C2765186.html
17,C190862,W25Q128JVPIQ,Winbond,2,2,2,1.6686,3.34,https://www.lcsc.com/product-detail/C190862.html
18,C603662,NCP167AMX330TBG,onsemi,3,1,1,0.3167,0.95,https://www.lcsc.com/product-detail/C603662.html
19,C84817,MT3608,XI'AN Aerosemi Tech,10,10,10,0.0607,0.61,https://www.lcsc.com/product-detail/C84817.html
20,C8678,SS34,MDD(Microdiode Semiconductor),20,20,20,0.029,0.58,https://www.lcsc.com/product-detail/C8678.html
21,C4190,0603WAF2201T5E,UNI-ROYAL,100,100,100,0.0013,0.13,https://www.lcsc.com/product-detail/C4190.html
22,C105580,RC0603FR-075K1L,YAGEO,100,100,100,0.0014,0.14,https://www.lcsc.com/product-detail/C105580.html
23,C51889390,MP9943GQ(TOKMAS),Tokmas,1,1,1,1.5679,1.57,https://www.lcsc.com/product-detail/C51889390.html
24,C38523,CL10C120JB8NNNC,Samsung Electro-Mechanics,100,100,100,0.0047,0.47,https://www.lcsc.com/product-detail/C38523.html
25,C21122,CL10B223KB8NNNC,Samsung Electro-Mechanics,50,50,50,0.004,0.2,https://www.lcsc.com/product-detail/C21122.html
26,C14663,CC0603KRX7R9BB104,YAGEO,200,100,100,0.0025,0.5,https://www.lcsc.com/product-detail/C14663.html
27,C100042,CC0603KRX7R9BB103,YAGEO,100,100,100,0.0022,0.22,https://www.lcsc.com/product-detail/C100042.html
28,C19702,CL10A106KP8NNNC,Samsung Electro-Mechanics,100,50,50,0.0058,0.58,https://www.lcsc.com/product-detail/C19702.html
29,C602037,CL21A226MAYNNNE,Samsung Electro-Mechanics,10,10,10,0.0235,0.24,https://www.lcsc.com/product-detail/C602037.html
30,C45783,CL21A226MAQNNNE,Samsung Electro-Mechanics,20,20,20,0.024,0.48,https://www.lcsc.com/product-detail/C45783.html
31,C160404,SM04B-SRSS-TB(LF)(SN),JST,5,5,5,0.1969,0.98,https://www.lcsc.com/product-detail/C160404.html
32,C160403,SM03B-SRSS-TB(LF)(SN),JST,5,5,5,0.1743,0.87,https://www.lcsc.com/product-detail/C160403.html
33,C136657,SM05B-SRSS-TB(LF)(SN),JST,5,5,5,0.2678,1.34,https://www.lcsc.com/product-detail/C136657.html
34,C160405,SM06B-SRSS-TB(LF)(SN),JST,5,5,5,0.2648,1.32,https://www.lcsc.com/product-detail/C160405.html
35,C160407,SM08B-SRSS-TB(LF)(SN),JST,5,5,5,0.2717,1.36,https://www.lcsc.com/product-detail/C160407.html
36,C1851993,CSTNE8M00G52A000R0,muRata,5,5,5,0.2313,1.16,https://www.lcsc.com/product-detail/C1851993.html
37,C86083,LQM18FN100M00D,muRata,10,10,10,0.0516,0.52,https://www.lcsc.com/product-detail/C86083.html
38,C5349702,APH0630T220M,APV,10,10,10,0.068,0.68,https://www.lcsc.com/product-detail/C5349702.html
39,C7429915,NCD0603B5,NATIONSTAR,50,50,50,0.0074,0.37,https://www.lcsc.com/product-detail/C7429915.html
40,C7429910,NCD0603R6,NATIONSTAR,50,50,50,0.0065,0.33,https://www.lcsc.com/product-detail/C7429910.html
41,C476200,SI4010-C2-GSR,SILICON LABS,1,1,1,1.4435,1.44,https://www.lcsc.com/product-detail/C476200.html
42,C5178937,AT32F435CGU7,ARTERY,1,1,1,3.3336,3.33,https://www.lcsc.com/product-detail/C5178937.html
43,C98220,RC0603FR-0710KL,YAGEO,100,100,100,0.0013,0.13,https://www.lcsc.com/product-detail/C98220.html
44,C48586483,ICM-42688-PC,Tokmas,1,1,1,2.0211,2.02,https://www.lcsc.com/product-detail/C48586483.html
,,,,,,,Price,34.74,
